Epiweek,Start,End,MT_epiweek
2022-36,9/4/2022,9/10/2022,27.55826259
2022-37,9/11/2022,9/17/2022,27.73671276
2022-38,9/18/2022,9/24/2022,27.43907993
2022-39,9/25/2022,10/1/2022,27.83423969
2022-40,10/2/2022,10/8/2022,26.48504705
2022-41,10/9/2022,10/15/2022,27.71785507
2022-42,10/16/2022,10/22/2022,27.80130114
2022-43,10/23/2022,10/29/2022,27.23554976
2022-44,10/30/2022,11/5/2022,27.34273111
2022-45,11/6/2022,11/12/2022,26.48547532
2022-46,11/13/2022,11/19/2022,27.21880123
2022-47,11/20/2022,11/26/2022,28.09450552
2022-48,11/27/2022,12/3/2022,26.62069293
2022-49,12/4/2022,12/10/2022,26.7095376
2022-50,12/11/2022,12/17/2022,26.1298193
2022-51,12/18/2022,12/24/2022,26.41868391
2022-52,12/25/2022,12/31/2022,26.82996723
2023-1,1/1/2023,1/7/2023,27.13048827
2023-2,1/8/2023,1/14/2023,27.32177481
2023-3,1/15/2023,1/21/2023,27.0296517
2023-4,1/22/2023,1/28/2023,24.95754769
2023-5,1/29/2023,2/4/2023,25.52639559
2023-6,2/5/2023,2/11/2023,26.88839756
2023-7,2/12/2023,2/18/2023,26.6216665
2023-8,2/19/2023,2/25/2023,27.33631194
2023-9,2/26/2023,3/4/2023,25.04333198
2023-10,3/5/2023,3/11/2023,26.57670899
2023-11,3/12/2023,3/18/2023,27.29313311
2023-12,3/19/2023,3/25/2023,27.35674027
2023-13,3/26/2023,4/1/2023,27.29381638
2023-14,4/2/2023,4/8/2023,27.57650261
2023-15,4/9/2023,4/15/2023,28.60689829
2023-16,4/16/2023,4/22/2023,28.54887798
2023-17,4/23/2023,4/29/2023,28.52136717
2023-18,4/30/2023,5/6/2023,28.74470872
2023-19,5/7/2023,5/13/2023,29.95810444
2023-20,5/14/2023,5/20/2023,28.74946564
2023-21,5/21/2023,5/27/2023,28.8799066
2023-22,5/28/2023,6/3/2023,29.15499731
2023-23,6/4/2023,6/10/2023,28.79372602
2023-24,6/11/2023,6/17/2023,28.94996995
2023-25,6/18/2023,6/24/2023,29.05710423
2023-26,6/25/2023,7/1/2023,28.1541217
2023-27,7/2/2023,7/8/2023,28.41631328
2023-28,7/9/2023,7/15/2023,27.48396651
2023-29,7/16/2023,7/22/2023,28.12264109
2023-30,7/23/2023,7/29/2023,29.39642856
2023-31,7/30/2023,8/5/2023,28.85341092
2023-32,8/6/2023,8/12/2023,29.2056583
2023-33,8/13/2023,8/19/2023,27.6238738
2023-34,8/20/2023,8/26/2023,28.32693114
2023-35,8/27/2023,9/2/2023,28.79201402
2023-36,9/3/2023,9/9/2023,28.48195913
2023-37,9/10/2023,9/16/2023,28.91500733
2023-38,9/17/2023,9/23/2023,28.10111025
2023-39,9/24/2023,9/30/2023,28.61893997
2023-40,10/1/2023,10/7/2023,29.19472403
2023-41,10/8/2023,10/14/2023,29.49899222
2023-42,10/15/2023,10/21/2023,28.76958746
2023-43,10/22/2023,10/28/2023,28.02751066
2023-44,10/29/2023,11/4/2023,28.42865758
2023-45,11/5/2023,11/11/2023,28.14429272
2023-46,11/12/2023,11/18/2023,27.76209365
2023-47,11/19/2023,11/25/2023,27.38097477
2023-48,11/26/2023,12/2/2023,27.04827052
2023-49,12/3/2023,12/9/2023,27.06169968
2023-50,12/10/2023,12/16/2023,27.33719946
2023-51,12/17/2023,12/23/2023,27.29940605
2023-52,12/24/2023,12/30/2023,26.91198966
2024-1,12/31/2023,1/6/2024,26.69693775
2024-2,1/7/2024,1/13/2024,26.24634844
2024-3,1/14/2024,1/20/2024,26.82969496
2024-4,1/21/2024,1/27/2024,27.18709482
2024-5,1/28/2024,2/3/2024,27.89421785
2024-6,2/4/2024,2/10/2024,28.13464694
2024-7,2/11/2024,2/17/2024,27.43067803
2024-8,2/18/2024,2/24/2024,28.38419505
2024-9,2/25/2024,3/2/2024,28.58247035
2024-10,3/3/2024,3/9/2024,27.43294431
2024-11,3/10/2024,3/16/2024,28.71687577
2024-12,3/17/2024,3/23/2024,29.10464061
2024-13,3/24/2024,3/30/2024,29.7655582
2024-14,3/31/2024,4/6/2024,29.51735829
2024-15,4/7/2024,4/13/2024,28.63590308
2024-16,4/14/2024,4/20/2024,28.56290806
2024-17,4/21/2024,4/27/2024,29.66720338
2024-18,4/28/2024,5/4/2024,29.20630352
2024-19,5/5/2024,5/11/2024,29.30269596
2024-20,5/12/2024,5/18/2024,28.67065336
2024-21,5/19/2024,5/25/2024,28.4687857
2024-22,5/26/2024,6/1/2024,29.43105819
2024-23,6/2/2024,6/8/2024,28.668397
2024-24,6/9/2024,6/15/2024,28.91477263
2024-25,6/16/2024,6/22/2024,28.05556431
2024-26,6/23/2024,6/29/2024,28.84964249
2024-27,6/30/2024,7/6/2024,28.30502244
2024-28,7/7/2024,7/13/2024,28.0491107
2024-29,7/14/2024,7/20/2024,29.45561411
2024-30,7/21/2024,7/27/2024,29.88223944
2024-31,7/28/2024,8/3/2024,29.4231732
2024-32,8/4/2024,8/10/2024,28.38510087
2024-33,8/11/2024,8/17/2024,28.53425955
2024-34,8/18/2024,8/24/2024,28.43398823
2024-35,8/25/2024,8/31/2024,28.51990514
2024-36,9/1/2024,9/7/2024,29.18949357
2024-37,9/8/2024,9/14/2024,28.37086123
2024-38,9/15/2024,9/21/2024,28.80896765
2024-39,9/22/2024,9/28/2024,28.23942375
2024-40,9/29/2024,10/5/2024,28.18126071
2024-41,10/6/2024,10/12/2024,27.95680495
2024-42,10/13/2024,10/19/2024,27.55081656
2024-43,10/20/2024,10/26/2024,29.21873383
2024-44,10/27/2024,11/2/2024,29.38563128
2024-45,11/3/2024,11/9/2024,27.86115181
2024-46,11/10/2024,11/16/2024,27.45510614
2024-47,11/17/2024,11/23/2024,26.7017581
2024-48,11/24/2024,11/30/2024,26.66158079
2024-49,12/1/2024,12/7/2024,28.60768807
2024-50,12/8/2024,12/14/2024,27.80219123
2024-51,12/15/2024,12/21/2024,27.46428397
2024-52,12/22/2024,12/28/2024,27.40068209
