Epiweek,Start,End,MT_epiweek
2014-24,6/8/2014,6/14/2014,29.31034376
2014-25,6/15/2014,6/21/2014,29.79659864
2014-26,6/22/2014,6/28/2014,29.05296402
2014-27,6/29/2014,7/5/2014,28.21757104
2014-28,7/6/2014,7/12/2014,28.08053354
2014-29,7/13/2014,7/19/2014,29.14214286
2014-30,7/20/2014,7/26/2014,29.62214286
2014-31,7/27/2014,8/2/2014,28.11069111
2014-32,8/3/2014,8/9/2014,27.95214286
2014-33,8/10/2014,8/16/2014,27.15220961
2014-34,8/17/2014,8/23/2014,28.1125261
2014-35,8/24/2014,8/30/2014,26.93406885
2014-36,8/31/2014,9/6/2014,27.93412857
2014-37,9/7/2014,9/13/2014,28.34632949
2014-38,9/14/2014,9/20/2014,28.8037594
2014-39,9/21/2014,9/27/2014,28.40313325
2014-40,9/28/2014,10/4/2014,28.93638425
2014-41,10/5/2014,10/11/2014,28.83295739
2014-42,10/12/2014,10/18/2014,28.09780558
2014-43,10/19/2014,10/25/2014,28.10682848
2014-44,10/26/2014,11/1/2014,28.43479901
2014-45,11/2/2014,11/8/2014,28.14570837
2014-46,11/9/2014,11/15/2014,27.19455579
2014-47,11/16/2014,11/22/2014,26.97329784
2014-48,11/23/2014,11/29/2014,27.29002889
2014-49,11/30/2014,12/6/2014,27.52427301
2014-50,12/7/2014,12/13/2014,27.57005202
2014-51,12/14/2014,12/20/2014,26.93444783
2014-52,12/21/2014,12/27/2014,26.4100851
2014-53,12/28/2014,1/3/2015,25.91698332
2015-1,1/4/2015,1/10/2015,26.59898317
2015-2,1/11/2015,1/17/2015,27.25810887
2015-3,1/18/2015,1/24/2015,26.75172789
2015-4,1/25/2015,1/31/2015,27.0135362
2015-5,2/1/2015,2/7/2015,26.22789116
2015-6,2/8/2015,2/14/2015,26.62614987
2015-7,2/15/2015,2/21/2015,27.26063001
2015-8,2/22/2015,2/28/2015,27.58204124
2015-9,3/1/2015,3/7/2015,27.93921559
2015-10,3/8/2015,3/14/2015,27.37159118
2015-11,3/15/2015,3/21/2015,28.11633873
2015-12,3/22/2015,3/28/2015,28.31200767
2015-13,3/29/2015,4/4/2015,27.56416345
2015-14,4/5/2015,4/11/2015,28.53791773
2015-15,4/12/2015,4/18/2015,28.96631245
2015-16,4/19/2015,4/25/2015,27.94399655
2015-17,4/26/2015,5/2/2015,27.74404247
2015-18,5/3/2015,5/9/2015,28.31472341
2015-19,5/10/2015,5/16/2015,28.79540483
2015-20,5/17/2015,5/23/2015,28.53032304
2015-21,5/24/2015,5/30/2015,28.97557607
2015-22,5/31/2015,6/6/2015,28.94460338
2015-23,6/7/2015,6/13/2015,27.99233893
2015-24,6/14/2015,6/20/2015,28.24395394
2015-25,6/21/2015,6/27/2015,29.77804272
2015-26,6/28/2015,7/4/2015,29.00748299
2015-27,7/5/2015,7/11/2015,29.0991889
2015-28,7/12/2015,7/18/2015,29.0965658
2015-29,7/19/2015,7/25/2015,29.3678751
2015-30,7/26/2015,8/1/2015,28.18158812
2015-31,8/2/2015,8/8/2015,27.41618849
2015-32,8/9/2015,8/15/2015,28.17343985
2015-33,8/16/2015,8/22/2015,28.76802721
2015-34,8/23/2015,8/29/2015,28.77535456
2015-35,8/30/2015,9/5/2015,29.05651722
2015-36,9/6/2015,9/12/2015,28.34433462
2015-37,9/13/2015,9/19/2015,28.29406929
2015-38,9/20/2015,9/26/2015,28.61842753
2015-39,9/27/2015,10/3/2015,28.12753751
2015-40,10/4/2015,10/10/2015,28.30933605
2015-41,10/11/2015,10/17/2015,29.12359038
2015-42,10/18/2015,10/24/2015,29.22661708
2015-43,10/25/2015,10/31/2015,27.96930222
2015-44,11/1/2015,11/7/2015,27.93339446
2015-45,11/8/2015,11/14/2015,27.72107968
2015-46,11/15/2015,11/21/2015,27.41144655
2015-47,11/22/2015,11/28/2015,27.52596194
2015-48,11/29/2015,12/5/2015,27.57502671
2015-49,12/6/2015,12/12/2015,27.54144889
2015-50,12/13/2015,12/19/2015,27.30573048
2015-51,12/20/2015,12/26/2015,28.09602494
2015-52,12/27/2015,1/2/2016,27.48285714
2016-1,1/3/2016,1/9/2016,28.054591
2016-2,1/10/2016,1/16/2016,28.29591837
2016-3,1/17/2016,1/23/2016,27.92458095
2016-4,1/24/2016,1/30/2016,28.07354214
2016-5,1/31/2016,2/6/2016,28.09653678
2016-6,2/7/2016,2/13/2016,27.22419184
2016-7,2/14/2016,2/20/2016,27.31559905
2016-8,2/21/2016,2/27/2016,27.63040446
2016-9,2/28/2016,3/5/2016,28.32738747
2016-10,3/6/2016,3/12/2016,28.5930004
2016-11,3/13/2016,3/19/2016,28.63832218
2016-12,3/20/2016,3/26/2016,28.82331517
2016-13,3/27/2016,4/2/2016,29.32466512
2016-14,4/3/2016,4/9/2016,28.88722276
2016-15,4/10/2016,4/16/2016,29.44100018
2016-16,4/17/2016,4/23/2016,29.62043333
2016-17,4/24/2016,4/30/2016,28.69913896
2016-18,5/1/2016,5/7/2016,29.49935924
2016-19,5/8/2016,5/14/2016,29.01478785
2016-20,5/15/2016,5/21/2016,28.65350364
2016-21,5/22/2016,5/28/2016,29.26814868
2016-22,5/29/2016,6/4/2016,28.25496436
2016-23,6/5/2016,6/11/2016,28.53803734
2016-24,6/12/2016,6/18/2016,27.815646
2016-25,6/19/2016,6/25/2016,28.14557358
2016-26,6/26/2016,7/2/2016,29.72243763
2016-27,7/3/2016,7/9/2016,29.60873376
2016-28,7/10/2016,7/16/2016,28.19467591
2016-29,7/17/2016,7/23/2016,27.20779143
2016-30,7/24/2016,7/30/2016,27.67186298
2016-31,7/31/2016,8/6/2016,28.44746748
2016-32,8/7/2016,8/13/2016,29.19643799
2016-33,8/14/2016,8/20/2016,29.21603659
2016-34,8/21/2016,8/27/2016,28.83411529
2016-35,8/28/2016,9/3/2016,28.37476604
2016-36,9/4/2016,9/10/2016,28.16019504
2016-37,9/11/2016,9/17/2016,28.10132623
2016-38,9/18/2016,9/24/2016,28.51492332
2016-39,9/25/2016,10/1/2016,28.84861344
2016-40,10/2/2016,10/8/2016,28.09760503
2016-41,10/9/2016,10/15/2016,29.28150757
2016-42,10/16/2016,10/22/2016,28.66350166
2016-43,10/23/2016,10/29/2016,27.2041322
2016-44,10/30/2016,11/5/2016,27.56175032
2016-45,11/6/2016,11/12/2016,27.67407774
2016-46,11/13/2016,11/19/2016,27.03120993
2016-47,11/20/2016,11/26/2016,27.75074221
2016-48,11/27/2016,12/3/2016,27.02139175
2016-49,12/4/2016,12/10/2016,28.35148679
2016-50,12/11/2016,12/17/2016,27.93009335
2016-51,12/18/2016,12/24/2016,27.40082761
2016-52,12/25/2016,12/31/2016,26.55680516
2017-1,1/1/2017,1/7/2017,26.8332033
2017-2,1/8/2017,1/14/2017,28.33067194
2017-3,1/15/2017,1/21/2017,27.30684109
2017-4,1/22/2017,1/28/2017,25.98511848
2017-5,1/29/2017,2/4/2017,27.01040507
2017-6,2/5/2017,2/11/2017,27.32937133
2017-7,2/12/2017,2/18/2017,26.60596655
2017-8,2/19/2017,2/25/2017,26.8739359
2017-9,2/26/2017,3/4/2017,26.48428571
2017-10,3/5/2017,3/11/2017,27.22209892
2017-11,3/12/2017,3/18/2017,27.73879821
2017-12,3/19/2017,3/25/2017,27.97162487
2017-13,3/26/2017,4/1/2017,27.29255263
2017-14,4/2/2017,4/8/2017,28.03411126
2017-15,4/9/2017,4/15/2017,27.79663866
2017-16,4/16/2017,4/22/2017,27.86777519
2017-17,4/23/2017,4/29/2017,27.56860078
2017-18,4/30/2017,5/6/2017,28.46529014
2017-19,5/7/2017,5/13/2017,28.28635478
2017-20,5/14/2017,5/20/2017,29.13905748
2017-21,5/21/2017,5/27/2017,27.97889476
2017-22,5/28/2017,6/3/2017,28.64802609
2017-23,6/4/2017,6/10/2017,29.75549802
2017-24,6/11/2017,6/17/2017,28.73306231
2017-25,6/18/2017,6/24/2017,28.14202283
2017-26,6/25/2017,7/1/2017,27.75392932
2017-27,7/2/2017,7/8/2017,28.10029626
2017-28,7/9/2017,7/15/2017,27.26268735
2017-29,7/16/2017,7/22/2017,28.79205146
2017-30,7/23/2017,7/29/2017,29.24930663
2017-31,7/30/2017,8/5/2017,29.37303755
2017-32,8/6/2017,8/12/2017,27.76789614
2017-33,8/13/2017,8/19/2017,27.5251763
2017-34,8/20/2017,8/26/2017,28.54844519
2017-35,8/27/2017,9/2/2017,28.33871247
2017-36,9/3/2017,9/9/2017,28.20694422
2017-37,9/10/2017,9/16/2017,28.01314445
2017-38,9/17/2017,9/23/2017,27.6623968
2017-39,9/24/2017,9/30/2017,27.91338807
2017-40,10/1/2017,10/7/2017,27.31260951
2017-41,10/8/2017,10/14/2017,27.8936047
2017-42,10/15/2017,10/21/2017,29.8209133
2017-43,10/22/2017,10/28/2017,28.25665097
2017-44,10/29/2017,11/4/2017,27.29928338
2017-45,11/5/2017,11/11/2017,26.98346476
2017-46,11/12/2017,11/18/2017,27.46832789
2017-47,11/19/2017,11/25/2017,27.37218417
2017-48,11/26/2017,12/2/2017,27.59579417
2017-49,12/3/2017,12/9/2017,27.75395247
2017-50,12/10/2017,12/16/2017,27.01549419
2017-51,12/17/2017,12/23/2017,27.52154437
2017-52,12/24/2017,12/30/2017,27.11010577
2018-1,12/31/2017,1/6/2018,26.69122321
2018-2,1/7/2018,1/13/2018,25.14609713
2018-3,1/14/2018,1/20/2018,26.24937695
2018-4,1/21/2018,1/27/2018,27.18836049
2018-5,1/28/2018,2/3/2018,27.31312695
2018-6,2/4/2018,2/10/2018,26.62231522
2018-7,2/11/2018,2/17/2018,27.32605042
2018-8,2/18/2018,2/24/2018,27.44789916
2018-9,2/25/2018,3/3/2018,27.65029808
2018-10,3/4/2018,3/10/2018,27.64868584
2018-11,3/11/2018,3/17/2018,28.25588235
2018-12,3/18/2018,3/24/2018,28.4658828
2018-13,3/25/2018,3/31/2018,26.85495659
2018-14,4/1/2018,4/7/2018,28.21337731
2018-15,4/8/2018,4/14/2018,28.8092437
2018-16,4/15/2018,4/21/2018,27.4948214
2018-17,4/22/2018,4/28/2018,28.10969399
2018-18,4/29/2018,5/5/2018,28.3636963
2018-19,5/6/2018,5/12/2018,29.66670567
2018-20,5/13/2018,5/19/2018,28.11797955
2018-21,5/20/2018,5/26/2018,28.12595881
2018-22,5/27/2018,6/2/2018,27.62531231
2018-23,6/3/2018,6/9/2018,29.57203725
2018-24,6/10/2018,6/16/2018,29.02824074
2018-25,6/17/2018,6/23/2018,27.87449486
2018-26,6/24/2018,6/30/2018,26.69992133
2018-27,7/1/2018,7/7/2018,27.95479895
2018-28,7/8/2018,7/14/2018,28.37935069
2018-29,7/15/2018,7/21/2018,28.54362484
2018-30,7/22/2018,7/28/2018,28.92425399
2018-31,7/29/2018,8/4/2018,27.8814127
2018-32,8/5/2018,8/11/2018,28.39159664
2018-33,8/12/2018,8/18/2018,29.24711726
2018-34,8/19/2018,8/25/2018,28.37607297
2018-35,8/26/2018,9/1/2018,28.33421101
2018-36,9/2/2018,9/8/2018,27.04981116
2018-37,9/9/2018,9/15/2018,27.93754139
2018-38,9/16/2018,9/22/2018,27.35144753
2018-39,9/23/2018,9/29/2018,29.14884369
2018-40,9/30/2018,10/6/2018,29.39460381
2018-41,10/7/2018,10/13/2018,26.67741301
2018-42,10/14/2018,10/20/2018,27.52196394
2018-43,10/21/2018,10/27/2018,27.95814634
2018-44,10/28/2018,11/3/2018,27.14520545
2018-45,11/4/2018,11/10/2018,27.44378105
2018-46,11/11/2018,11/17/2018,27.22503138
2018-47,11/18/2018,11/24/2018,27.27194378
2018-48,11/25/2018,12/1/2018,27.59117486
2018-49,12/2/2018,12/8/2018,27.14120298
2018-50,12/9/2018,12/15/2018,26.96018251
2018-51,12/16/2018,12/22/2018,27.77590667
2018-52,12/23/2018,12/29/2018,28.36225848
2019-1,12/30/2018,1/5/2019,28.46842956
2019-2,1/6/2019,1/12/2019,28.40600585
2019-3,1/13/2019,1/19/2019,27.43918275
2019-4,1/20/2019,1/26/2019,27.73011204
2019-5,1/27/2019,2/2/2019,27.85336134
2019-6,2/3/2019,2/9/2019,28.20078429
2019-7,2/10/2019,2/16/2019,28.36204275
2019-8,2/17/2019,2/23/2019,27.85991376
